hexcode,airline,registration,aircraft,aircraft_thumbnail,latitude,longitude,altitude,distance,first_seen_time
c01732,Air Canada Express,C-FJBO,EMB-175 SU,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.58444,-79.910627,11350,48.10551965091793,Sat May 17 20:49:56 2025
a9d86c,Air Canada,C-FZUB,A320 214,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.377189,-80.589425,17750,107.78508067278725,Sat May 17 16:35:08 2025
ab6afa,American Airlines,N835AN,787 9,https://hexdb.io/static/aircraft-images/N835AN-thumb.jpg,42.423427,-79.773453,39000,138.4986699761161,Sat May 17 16:34:35 2025
a446aa,Delta Connection,N910XJ,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.724319,-80.521358,30000,120.57566824829665,Sat May 17 18:27:09 2025
c07b0a,Air Canada,C-GUPL,A220 300,https://hexdb.io/static/aircraft-images/C-GUPL-thumb.jpg,43.68313,-79.910954,7650,48.11141402883574,Sat May 17 18:52:53 2025
c07973,Delta Air Lines,N104DN,A321 211SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.273727,-82.007127,34025,220.0623480523227,Sat May 17 16:47:27 2025
c05515,Air Canada,C-GTZU,A220 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.595627,-79.731488,9575,32.02803621988262,Sat May 17 16:35:39 2025
c058bf,Air Canada,C-GHPU,787 8,https://hexdb.io/static/aircraft-images/C-GHPU-thumb.jpg,43.577271,-79.747336,6450,33.857929581912,Sat May 17 16:35:39 2025
c052d7,WestJet,C-GFJQ,737MAX 8,https://hexdb.io/static/aircraft-images/C-GFJQ-thumb.jpg,43.463124,-80.800389,16950,126.30737679599255,Sat May 17 16:35:07 2025
c0440e,Air Canada,C-FZUB,A320 214,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.377189,-80.589425,17750,107.78508067278725,Sat May 17 16:35:08 2025
ac13b3,Southwest Airlines,N8777Q,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.317825,-80.325477,37000,147.73460476674506,Sat May 17 16:35:39 2025
c00f63,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.867691,-79.668508,22375,90.71595029547835,Sat May 17 16:46:57 2025
a34c0f,Global 5500 LLC,N311RR,Global 5500,https://hexdb.io/static/aircraft-images/N311RR-thumb.jpg,42.109758,-80.039233,43000,170.07701465968017,Sat May 17 16:37:11 2025
c05512,Air Canada Express,C-GGFP,DHC-8 402 NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.351492,-80.924966,15000,135.0745182683406,Sat May 17 16:37:42 2025
a047db,United Express,N117SY,EMB-175 LR,https://hexdb.io/static/aircraft-images/N117SY-thumb.jpg,42.553711,-80.170857,27000,127.0245588600655,Sat May 17 16:37:42 2025
ac2706,United Airlines,N882UA,A319 132,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.688065,-80.107923,11450,66.38441281902902,Sat May 17 16:43:22 2025
c05f08,Air Canada Express,C-GJZR,DHC-8 402,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.727541,-79.521136,2450,13.798164722994096,Sat May 17 16:40:48 2025
a89c29,Flexjet,N654FX,G650 ER,https://hexdb.io/static/aircraft-images/N654FX-thumb.jpg,42.329531,-80.121375,45000,147.5677330429624,Sat May 17 16:40:15 2025
a51425,American Eagle,N426YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.511551,-80.219234,31825,131.0019898449275,Sat May 17 16:41:19 2025
acc95c,American Airlines,N923AN,737NG 823/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.486179,-80.251358,37000,133.32899084677842,Sat May 17 16:40:17 2025
a16e7d,United Airlines,N19117,757 224/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.481431,-80.238647,38000,133.68173670200775,Sat May 17 16:40:48 2025
aae391,N800TL LLC,N800TL,125 800XP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.736072,-82.324134,35000,187.87523010537328,Sat May 17 16:41:18 2025
ab7b63,Delta Connection,N839SK,CRJ 900 LR NG,https://hexdb.io/static/aircraft-images/N839SK-thumb.jpg,42.444031,-80.028035,19350,136.58363297764527,Sat May 17 16:41:19 2025
aa2e6f,Porter Airlines,C-GKQU,EMB-195 E2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.541794,-80.071553,11175,62.820378310663216,Sat May 17 16:45:55 2025
c060c5,Porter Airlines,C-GKQU,EMB-195 E2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.431934,-80.445818,13675,95.79522365313757,Sat May 17 16:42:51 2025
adbdc1,Alaska Airlines,N985AK,737MAX 9,https://hexdb.io/static/aircraft-images/N985AK-thumb.jpg,42.780991,-82.285163,32000,191.84389687925548,Sat May 17 17:00:07 2025
c058b4,Air Canada Rouge,C-GHPJ,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.734161,-79.859557,20600,106.8360582429531,Sat May 17 16:54:10 2025
a4f414,American Eagle,N418YX,EMB-175 LR,https://hexdb.io/static/aircraft-images/N418YX-thumb.jpg,42.459924,-80.236667,24000,135.53053494312115,Sat May 17 16:44:54 2025
c05f09,Air Canada Express,C-GJZS,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.071075,-80.599791,8700,111.4561253579677,Sat May 17 21:12:01 2025
c048cc,Novajet,C-GBOT,Challenger 650,https://hexdb.io/static/aircraft-images/C-GBOT-thumb.jpg,43.215094,-79.345943,13675,50.5149971077888,Sat May 17 16:45:55 2025
c0635c,Porter Airlines,C-GLQH,DHC-8 402,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.698532,-79.227458,9050,15.533644854784384,Sat May 17 16:48:59 2025
c03f37,Delta Air Lines,N104DN,A321 211SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.273727,-82.007127,34025,220.0623480523227,Sat May 17 16:47:27 2025
b1ad71,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.517685,-80.197012,39000,130.34361907157086,Sat May 17 16:48:28 2025
a0f3a5,Washington Corp,N160WC,Challenger 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.537899,-79.937865,43000,127.04448548454533,Sat May 17 16:48:59 2025
c06e87,Iberia,EC-MAA,A330 302,https://hexdb.io/static/aircraft-images/EC-MAA-thumb.jpg,43.507278,-80.256788,38000,79.28007971229779,Sat May 17 18:25:06 2025
c060b5,Porter Airlines,C-GKQE,DHC-8 402 NG,https://hexdb.io/static/aircraft-images/C-GKQE-thumb.jpg,43.836148,-79.383937,14100,18.70627084893786,Sat May 17 16:56:45 2025
780d9e,China Eastern Airlines,B-2022,777 39PER,https://hexdb.io/static/aircraft-images/B-2022-thumb.jpg,43.676613,-79.827837,7700,40.366064628898194,Sat May 17 16:52:38 2025
c08851,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.5843,-79.908927,11600,47.95569647054483,Sat May 17 16:58:49 2025
a46ce1,United Airlines,N38424,737NG 924ER/W,https://hexdb.io/static/aircraft-images/N38424-thumb.jpg,42.629048,-80.184355,32000,120.7164508787688,Sat May 17 16:54:10 2025
4b187a,Swiss International Air Lines,HB-JHA,A330 343E,https://hexdb.io/static/aircraft-images/HB-JHA-thumb.jpg,43.707058,-78.940103,15450,42.06993620139569,Sat May 17 17:01:40 2025
a16d51,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.464386,-80.914115,22000,136.20346204979506,Sat May 17 16:52:06 2025
c06aa4,Air Canada Express,C-GOJZ,CRJ 900,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.938782,-81.705195,23000,175.2013971675756,Sat May 17 16:52:37 2025
780aec,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.460238,-80.555878,19000,105.16777011944642,Sat May 17 16:54:10 2025
a4c170,American Eagle,N405YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.566345,-80.177661,30000,125.98238466248891,Sat May 17 16:54:10 2025
c058ae,Air Canada Rouge,C-GHPD,A321 211,https://hexdb.io/static/aircraft-images/C-GHPD-thumb.jpg,42.357695,-79.91206,24525,145.30468225959132,Sat May 17 17:08:55 2025
ab6fbf,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.092161,-80.268732,35000,169.00157111117983,Sat May 17 17:02:11 2025
c06a7d,Air Transat,C-GOIM,A321 271NXSL,https://hexdb.io/static/aircraft-images/C-GOIM-thumb.jpg,43.712132,-79.543435,2025,14.979629853957844,Sat May 17 16:56:45 2025
a58672,United Airlines,N455UA,A320 232,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.559387,-80.236151,36025,127.08112909113295,Sat May 17 16:58:49 2025
c050ae,Air Canada,C-GEOJ,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.67652,-79.90363,7400,47.36542385641409,Sat May 17 16:58:49 2025
a44585,United Airlines,N37434,737NG 924ER/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.649246,-80.709686,32000,128.48171392545265,Sat May 17 17:01:08 2025
c02fb4,Airsprint Inc,C-FSBR,Praetor 500,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.671219,-80.094577,30225,115.89724169202162,Sat May 17 17:09:56 2025
aa39fd,Airsprint Inc,C-FSBR,Praetor 500,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.84581,-80.02039,26600,99.28131573878419,Sat May 17 17:08:24 2025
aa9990,American Eagle,N782SM,EMB-170 SU,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.545654,-80.176288,27000,127.76911252391653,Sat May 17 16:58:49 2025
c05d56,American Airlines,N108NN,A321 231SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.138387,-80.149415,35000,166.01661406741272,Sat May 17 21:25:53 2025
c06b6a,WestJet,C-GORP,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.897096,-79.646824,19875,87.33539446735472,Sat May 17 19:20:10 2025
c02de8,Latitude Air Ambulance,C-FRJZ,1125 Astra SP,https://hexdb.io/static/aircraft-images/C-FRJZ-thumb.jpg,43.183113,-81.113303,29250,146.35542366606896,Sat May 17 17:08:24 2025
aac7b1,American Eagle,N794JH,EMB-170 SE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.495743,-81.717394,30000,207.79555719642337,Sat May 17 18:43:40 2025
a78c8f,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.039185,-79.827846,34975,179.45865592535617,Sat May 17 17:04:49 2025
484371,KLM Royal Dutch Airlines,PH-BQK,777 206ER,https://hexdb.io/static/aircraft-images/PH-BQK-thumb.jpg,43.586334,-79.772431,5575,35.83143944310337,Sat May 17 17:03:13 2025
c0171a,Air Canada,C-FITL,777 333ER,https://hexdb.io/static/aircraft-images/C-FITL-thumb.jpg,43.882188,-79.054674,19925,39.67980173209756,Sat May 17 21:27:55 2025
c00b8a,Air Canada Express,C-FEJP,EMB-175 SU,https://hexdb.io/static/aircraft-images/C-FEJP-thumb.jpg,43.347908,-79.383283,11750,35.618475521088904,Sat May 17 19:59:36 2025
c058d5,Air Canada,C-GHQQ,787 8,https://hexdb.io/static/aircraft-images/C-GHQQ-thumb.jpg,43.727495,-79.52107,2450,13.790258113611275,Sat May 17 17:04:49 2025
a39723,Delta Connection,N330PQ,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.454788,-79.779219,34000,135.17009810070283,Sat May 17 17:06:21 2025
a39b39,American Airlines,N331TK,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.452475,-80.037508,36000,135.77674056966978,Sat May 17 17:07:22 2025
c07998,Air Transat,C-GUBF,A330 243,https://hexdb.io/static/aircraft-images/C-GUBF-thumb.jpg,43.583313,-79.757676,5050,34.605910977941974,Sat May 17 22:01:29 2025
c0192e,Air Canada,C-FJNX,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.464381,-80.914699,18900,136.25414407849883,Sun May 18 06:49:48 2025
c055cd,Air Canada Express,C-GGMU,DHC-8 402 NG,https://hexdb.io/static/aircraft-images/C-GGMU-thumb.jpg,43.695187,-79.697505,7950,28.55463117942603,Sat May 17 17:08:24 2025
c0226c,WestJet,C-FNAX,737MAX 8,https://hexdb.io/static/aircraft-images/C-FNAX-thumb.jpg,43.60817,-79.754291,4775,33.81965651522147,Sat May 17 18:53:55 2025
c05840,American Eagle,N794JH,EMB-170 SE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.595007,-79.806257,9200,38.66387128223964,Sat May 17 17:16:08 2025
aa714e,Schnitzer Air LLC,N772JS,Challenger 300,https://hexdb.io/static/aircraft-images/N772JS-thumb.jpg,42.218948,-80.423542,41000,155.41912840948217,Sat May 17 17:09:56 2025
4caeb3,Italia Trasporto Aereo,EI-TYD,A330 941N,https://hexdb.io/static/aircraft-images/EI-TYD-thumb.jpg,43.591644,-79.78412,5500,36.75688061802403,Sat May 17 17:12:29 2025
48ae24,LOT Polish Airlines,SP-LSE,787 9,https://hexdb.io/static/aircraft-images/SP-LSE-thumb.jpg,43.680038,-79.858406,8125,43.222605703475466,Sat May 17 20:06:19 2025
c06032,Airsprint Inc,C-FSBR,Praetor 500,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.579605,-79.644555,7300,25.022513049077556,Sat May 17 18:24:03 2025
c062d1,Perimeter Aviation,C-GLKY,DHC-8 314Q,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.493408,-80.616526,8375,110.65129624762824,Sat May 17 17:13:31 2025
c05eb7,Air Canada,C-FGKZ,A321 212,https://hexdb.io/static/aircraft-images/C-FGKZ-thumb.jpg,43.472855,-80.322833,15575,85.17859947876663,Sat May 17 17:17:42 2025
c08497,Air Canada Rouge,C-GYFM,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.567029,-79.770486,5775,36.13190657751154,Sat May 17 17:17:10 2025
a98386,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.629013,-80.183653,32000,120.71047426588524,Sat May 17 17:17:42 2025
a06e20,Atlantic Air Charter,N127EJ,400 A,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.483945,-80.019432,12800,132.67849897908002,Sat May 17 17:15:05 2025
c010f6,Air Canada,C-FGKZ,A321 212,https://hexdb.io/static/aircraft-images/C-FGKZ-thumb.jpg,43.463333,-80.843598,21225,130.05878695449343,Sat May 17 17:15:05 2025
c03dac,WestJet,C-GFJM,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.661681,-79.950576,25750,114.9984783988261,Sat May 17 17:31:04 2025
aca1dd,American Airlines,N913AN,737NG 823/W,https://hexdb.io/static/aircraft-images/N913AN-thumb.jpg,42.494279,-80.215908,26650,132.47577338030658,Sat May 17 17:15:37 2025
c0481c,Air Canada Rouge,C-GBHZ,A319 114,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.903241,-81.790139,23000,177.64330422555662,Sat May 17 21:22:16 2025
840df8,Delta Air Lines,N664DN,757 232,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.541016,-79.78495,7250,38.15140700181624,Sat May 17 17:19:13 2025
a8c36d,Delta Air Lines,N664DN,757 232,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.051091,-80.646188,33125,114.56512354298893,Sat May 17 17:28:29 2025
c05ea6,Air Canada,C-GJVX,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.682877,-79.89475,7675,46.611050994868215,Sat May 17 18:53:55 2025
c04dbb,Air Canada Express,C-FXJF,EMB-175 SU,https://hexdb.io/static/aircraft-images/C-FXJF-thumb.jpg,43.484399,-79.471436,9375,21.63943745342901,Sat May 17 17:20:46 2025
c052d3,WestJet,C-GFJM,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.661681,-79.950576,25750,114.9984783988261,Sat May 17 17:31:04 2025
c07971,Air Canada,C-GTZS,A220 300,https://hexdb.io/static/aircraft-images/C-GTZS-thumb.jpg,43.264481,-80.158102,16450,77.34288483358904,Sat May 17 17:27:57 2025
a3534a,Delta Connection,N313PQ,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.308012,-79.355818,13350,40.158010682809305,Sat May 17 17:20:45 2025
acf54f,JetBlue Airways,N934JB,A321 231SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.647203,-80.639265,33650,127.08431430029266,Sat May 17 17:26:24 2025
ad14aa,Avianca,N942AV,A320 251NSL,https://hexdb.io/static/aircraft-images/N942AV-thumb.jpg,43.003006,-80.619847,26875,114.05219323271082,Sat May 17 17:33:40 2025
0c6063,Caribbean Airlines,9Y-GRN,737MAX 8,https://hexdb.io/static/aircraft-images/9Y-GRN-thumb.jpg,42.839324,-79.670236,20700,93.73925192145525,Sat May 17 17:33:40 2025
c055f5,Air Canada,C-GJVT,A320 214,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.712082,-79.543571,2025,14.989656156259967,Sat May 17 17:27:26 2025
c05ea2,Air Canada,C-GJWN,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.461044,-80.662324,15350,114.33942307651307,Sat May 17 20:47:24 2025
c00fab,Air Canada Express,C-FFYG,EMB-175 SU,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.113052,-81.173205,15850,148.85029972240403,Sat May 17 20:32:02 2025
4a91b2,Scandinavian Airlines System,SE-DMR,A321 253NXSL,https://hexdb.io/static/aircraft-images/SE-DMR-thumb.jpg,43.680908,-79.791466,6350,37.047259761107135,Sat May 17 17:29:00 2025
ac252a,Southwest Airlines,N8819L,737MAX 8,https://hexdb.io/static/aircraft-images/N8819L-thumb.jpg,42.627838,-80.156505,26475,120.47212189237045,Sat May 17 17:28:29 2025
c05f94,Air Canada Rouge,C-GKFB,A321 211SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.325409,-79.370089,11450,38.15566679990137,Sat May 17 17:28:28 2025
c0064c,Air Canada,C-GMIU,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.221379,-80.803332,38000,124.08133706053368,Sat May 17 17:42:26 2025
c04051,Air Canada Rouge,C-FYJG,A319 114,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.677544,-79.863674,8975,43.68469004086072,Sat May 17 17:31:36 2025
c01945,Air Canada,C-GMIU,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.25386,-80.741783,38000,119.61378510933329,Sat May 17 17:41:25 2025
a2c8b5,JetBlue Airways,N279JB,EMB-190 AR,https://hexdb.io/static/aircraft-images/N279JB-thumb.jpg,42.646877,-80.636455,36000,127.04178199348671,Sat May 17 17:33:40 2025
ad5e27,Southwest Airlines,N960WN,737NG 7H4/W,https://hexdb.io/static/aircraft-images/N960WN-thumb.jpg,42.627046,-80.151779,36000,120.48262083796612,Sat May 17 17:31:36 2025
4caf91,Aer Lingus,EI-GEY,A330 202,https://hexdb.io/static/aircraft-images/EI-GEY-thumb.jpg,43.6035,-79.744071,5275,32.98576209153905,Sat May 17 17:31:36 2025
c073ef,Ornge Air,C-GRXM,PC-12 47E NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.773162,-79.243992,10575,18.05116300513968,Sat May 17 17:38:49 2025
c0653d,Air Canada,C-GMIU,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.955193,-81.537061,38000,166.15604737836514,Sat May 17 17:47:41 2025
a8ae2e,Air Canada,C-GMIU,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.040849,-81.197335,38000,148.5077729186341,Sat May 17 17:45:04 2025
ab4b2b,Vista America,N827DD,Challenger 350,https://hexdb.io/static/aircraft-images/N827DD-thumb.jpg,42.340897,-79.997323,41000,146.83384418349956,Sat May 17 17:33:39 2025
a2ddac,American Eagle,N284JN,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.653275,-80.120981,30000,117.82558701387269,Sat May 17 17:35:12 2025
c0482a,Air Canada Express,C-GJAN,CRJ 900 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.812759,-79.834006,21150,98.67633854506101,Sat May 17 17:45:04 2025
a27318,United Airlines,N881UA,A319 132,https://hexdb.io/static/aircraft-images/N881UA-thumb.jpg,42.575089,-80.105126,38025,124.59246204487206,Sat May 17 17:38:49 2025
ad2ea1,Alaska Airlines,N949AK,737MAX 9,https://hexdb.io/static/aircraft-images/N949AK-thumb.jpg,43.681549,-79.946296,10025,51.35986646151279,Sat May 17 17:39:21 2025
ab7376,Delta Air Lines,N837MH,767 432ER,https://hexdb.io/static/aircraft-images/N837MH-thumb.jpg,43.104263,-80.464123,34000,102.54210598774974,Sat May 17 17:44:02 2025
c05c7a,Air Canada Express,C-GJAN,CRJ 900 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.089203,-81.292952,35000,156.3436191601744,Sat May 17 17:36:45 2025
a5c2dd,United Airlines,N470UA,A320 232,https://hexdb.io/static/aircraft-images/N470UA-thumb.jpg,43.684387,-80.116776,13550,67.15332005700904,Sat May 17 17:42:26 2025
c051e2,Air Canada,C-GFAF,A330 343X,https://hexdb.io/static/aircraft-images/C-GFAF-thumb.jpg,43.676473,-79.792982,5525,37.14584013053637,Sat May 17 21:29:58 2025
a9b775,American Eagle,N725PS,CRJ 700 701ER,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.738327,-79.581028,22425,103.91638558337031,Sat May 17 18:58:37 2025
ac234f,United Airlines,N881UA,A319 132,https://hexdb.io/static/aircraft-images/N881UA-thumb.jpg,42.661774,-82.535046,36025,185.5665211153481,Sat May 17 17:55:20 2025
c060b6,Porter Airlines,C-GKQF,DHC-8 402 NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.774338,-79.250708,11025,17.665485585575727,Sat May 17 17:43:29 2025
